"VS_NAZOV" "ISSN" "n" "PRED_NAZOV"
"1" "Ekonomická univerzita v Bratislave" "18410464" 2 "European Journal of Science and Theology"
"2" "Ekonomická univerzita v Bratislave" "19935250" 1 "International Business Management"
"3" "Ekonomická univerzita v Bratislave" "19936788" 35 "Aktual'ni Problemy Ekonomiky"
"4" "Ekonomická univerzita v Bratislave" "21464553" 1 "International Journal of Energy Economics and Policy"
"5" "Katolícka univerzita v Ružomberku" "09155287" 1 "Journal of Physical Therapy Science"
"6" "Katolícka univerzita v Ružomberku" "18410464" 5 "European Journal of Science and Theology"
"7" "Paneurópska vysoká škola" "09758585" 1 "Research Journal of Pharmaceutical, Biological and Chemical Sciences"
"8" "Paneurópska vysoká škola" "19936788" 6 "Aktual'ni Problemy Ekonomiky"
"9" "Prešovská univerzita v Prešove" "09734562" 1 "International Journal of Applied Engineering Research (New Delhi)"
"10" "Prešovská univerzita v Prešove" "13434500" 1 "Information"
"11" "Prešovská univerzita v Prešove" "13448994" 1 "Information"
"12" "Prešovská univerzita v Prešove" "15441458" 1 "Academy of Strategic Management Journal"
"13" "Prešovská univerzita v Prešove" "15461955" 1 "Journal of Computational and Theoretical Nanoscience"
"14" "Prešovská univerzita v Prešove" "15574563" 1 "American Journal of Animal and Veterinary Sciences"
"15" "Prešovská univerzita v Prešove" "18410464" 6 "European Journal of Science and Theology"
"16" "Prešovská univerzita v Prešove" "19112017" 1 "Asian Social Science"
"17" "Prešovská univerzita v Prešove" "19187173" 1 "Review of European Studies"
"18" "Prešovská univerzita v Prešove" "19366612" 2 "Advanced Science Letters"
"19" "Prešovská univerzita v Prešove" "19936788" 4 "Aktual'ni Problemy Ekonomiky"
"20" "Prešovská univerzita v Prešove" "21464138" 1 "International Journal of Economics and Financial Issues"
"21" "Prešovská univerzita v Prešove" "23940379" 1 "The Journal of Environmental Biology"
"22" "Slovenská poľnohospodárska univerzita v Nitre" "19936788" 1 "Aktual'ni Problemy Ekonomiky"
"23" "Slovenská technická univerzita v Bratislave" "13128876" 4 "International Journal of Mathematical Analysis"
"24" "Slovenská technická univerzita v Bratislave" "14523981" 2 "International Journal of Electrochemical Science"
"25" "Slovenská technická univerzita v Bratislave" "17298806" 2 "International Journal of Advanced Robotic Systems"
"26" "Slovenská technická univerzita v Bratislave" "17905079" 1 "WSEAS Transactions on Environment and Development"
"27" "Slovenská technická univerzita v Bratislave" "19928645" 2 "Journal of Theoretical and Applied Information Technology"
"28" "Slovenská technická univerzita v Bratislave" "2073607X" 2 "International Journal of Communication Networks and Information Security"
"29" "Slovenská zdravotnícka univerzita v Bratislave" "19405901" 1 "International Journal of Clinical and Experimental Medicine"
"30" "Technická univerzita v Košiciach" "09731768" 2 "Global Journal of Pure and Applied Mathematics"
"31" "Technická univerzita v Košiciach" "09734562" 1 "International Journal of Applied Engineering Research (New Delhi)"
"32" "Technická univerzita v Košiciach" "1312885X" 2 "Applied Mathematical Sciences"
"33" "Technická univerzita v Košiciach" "14523981" 3 "International Journal of Electrochemical Science"
"34" "Technická univerzita v Košiciach" "15334880" 1 "Journal of Nanoscience and Nanotechnology"
"35" "Technická univerzita v Košiciach" "15461955" 1 "Journal of Computational and Theoretical Nanoscience"
"36" "Technická univerzita v Košiciach" "15469239" 1 "American Journal of Applied Sciences"
"37" "Technická univerzita v Košiciach" "17298806" 1 "International Journal of Advanced Robotic Systems"
"38" "Technická univerzita v Košiciach" "17298814" 3 "International Journal of Advanced Robotic Systems"
"39" "Technická univerzita v Košiciach" "17905079" 1 "WSEAS Transactions on Environment and Development"
"40" "Technická univerzita v Košiciach" "1815932X" 1 "Research Journal of Applied Sciences"
"41" "Technická univerzita v Košiciach" "18410464" 1 "European Journal of Science and Theology"
"42" "Technická univerzita v Košiciach" "19366612" 1 "Advanced Science Letters"
"43" "Technická univerzita v Košiciach" "19935250" 1 "International Business Management"
"44" "Technická univerzita v Košiciach" "19936788" 13 "Aktual'ni Problemy Ekonomiky"
"45" "Technická univerzita v Košiciach" "19980140" 1 "International Journal of Mathematical Models and Methods in Applied Sciences"
"46" "Technická univerzita v Košiciach" "20399340" 5 "Mediterranean Journal of Social Sciences"
"47" "Technická univerzita vo Zvolene" "18410464" 1 "European Journal of Science and Theology"
"48" "Technická univerzita vo Zvolene" "19139020" 1 "International Education Studies"
"49" "Technická univerzita vo Zvolene" "19936788" 1 "Aktual'ni Problemy Ekonomiky"
"50" "Trenčianska univerzita Alexandra Dubčeka v Trenčíne" "19936788" 17 "Aktual'ni Problemy Ekonomiky"
"51" "Trnavská univerzita v Trnave" "16483898" 1 "Journal of Baltic Science Education"
"52" "Trnavská univerzita v Trnave" "18185800" 1 "The Social Sciences"
"53" "Univerzita J. Selyeho" "19935250" 2 "International Business Management"
"54" "Univerzita J. Selyeho" "19936788" 2 "Aktual'ni Problemy Ekonomiky"
"55" "Univerzita Komenského v Bratislave" "1312885X" 1 "Applied Mathematical Sciences"
"56" "Univerzita Komenského v Bratislave" "13376853" 3 "Interdisciplinary Toxicology"
"57" "Univerzita Komenského v Bratislave" "15334880" 2 "Journal of Nanoscience and Nanotechnology"
"58" "Univerzita Komenského v Bratislave" "16084217" 6 "OnLine Journal of Biological Sciences"
"59" "Univerzita Komenského v Bratislave" "18403662" 1 "Sport Science"
"60" "Univerzita Komenského v Bratislave" "18410464" 1 "European Journal of Science and Theology"
"61" "Univerzita Komenského v Bratislave" "19366612" 1 "Advanced Science Letters"
"62" "Univerzita Komenského v Bratislave" "19405901" 2 "International Journal of Clinical and Experimental Medicine"
"63" "Univerzita Komenského v Bratislave" "19438141" 3 "American Journal of Translational Research"
"64" "Univerzita Komenského v Bratislave" "19454589" 1 "Aging"
"65" "Univerzita Komenského v Bratislave" "19492553" 3 "OncoTarget"
"66" "Univerzita Komenského v Bratislave" "20399340" 1 "Mediterranean Journal of Social Sciences"
"67" "Univerzita Konštantína Filozofa v Nitre" "14523981" 1 "International Journal of Electrochemical Science"
"68" "Univerzita Konštantína Filozofa v Nitre" "15574555" 1 "American Journal of Animal and Veterinary Sciences"
"69" "Univerzita Konštantína Filozofa v Nitre" "16483898" 1 "Journal of Baltic Science Education"
"70" "Univerzita Konštantína Filozofa v Nitre" "18403662" 9 "Sport Science"
"71" "Univerzita Konštantína Filozofa v Nitre" "18410464" 24 "European Journal of Science and Theology"
"72" "Univerzita Konštantína Filozofa v Nitre" "18428517" 2 "European Journal of Science and Theology"
"73" "Univerzita Mateja Bela v Banskej Bystrici" "18403662" 17 "Sport Science"
"74" "Univerzita Mateja Bela v Banskej Bystrici" "18410464" 1 "European Journal of Science and Theology"
"75" "Univerzita Mateja Bela v Banskej Bystrici" "21464405" 1 "International Review of Management and Marketing"
"76" "Univerzita Pavla Jozefa Šafárika v Košiciach" "00332941" 1 "Psychological Reports"
"77" "Univerzita Pavla Jozefa Šafárika v Košiciach" "0976044X" 1 "International Journal of Pharmaceutical Sciences Review and Research"
"78" "Univerzita Pavla Jozefa Šafárika v Košiciach" "14523981" 6 "International Journal of Electrochemical Science"
"79" "Univerzita Pavla Jozefa Šafárika v Košiciach" "15574555" 1 "American Journal of Animal and Veterinary Sciences"
"80" "Univerzita Pavla Jozefa Šafárika v Košiciach" "18403662" 1 "Sport Science"
"81" "Univerzita Pavla Jozefa Šafárika v Košiciach" "19277229" 1 "Journal of Analytical Oncology"
"82" "Univerzita Pavla Jozefa Šafárika v Košiciach" "19492553" 1 "OncoTarget"
"83" "Univerzita Pavla Jozefa Šafárika v Košiciach" "19936788" 2 "Aktual'ni Problemy Ekonomiky"
"84" "Univerzita sv. Cyrila a Metoda v Trnave" "18185800" 1 "The Social Sciences"
"85" "Univerzita sv. Cyrila a Metoda v Trnave" "18410464" 42 "European Journal of Science and Theology"
"86" "Univerzita sv. Cyrila a Metoda v Trnave" "19936788" 1 "Aktual'ni Problemy Ekonomiky"
"87" "Univerzita sv. Cyrila a Metoda v Trnave" "20399340" 1 "Mediterranean Journal of Social Sciences"
"88" "Univerzita veterinárskeho lekárstva a farmácie v Košiciach" "18428517" 1 "European Journal of Science and Theology"
"89" "Univerzita veterinárskeho lekárstva a farmácie v Košiciach" "19277229" 1 "Journal of Analytical Oncology"
"90" "Vysoká škola ekonómie a manažmentu verejnej správy v Bratislave" "19139020" 1 "International Education Studies"
"91" "Vysoká škola ekonómie a manažmentu verejnej správy v Bratislave" "19935250" 1 "International Business Management"
"92" "Vysoká škola medzinárodného podnikania ISM Slovakia v Prešove" "19936788" 1 "Aktual'ni Problemy Ekonomiky"
"93" "Vysoká škola zdravotníctva a sociálnej práce sv. Alžbety v Bratislave" "18428517" 2 "European Journal of Science and Theology"
"94" "Vysoká škola zdravotníctva a sociálnej práce sv. Alžbety v Bratislave" "19492553" 1 "OncoTarget"
"95" "Žilinská univerzita v Žiline" "1312885X" 3 "Applied Mathematical Sciences"
"96" "Žilinská univerzita v Žiline" "13128876" 1 "International Journal of Mathematical Analysis"
"97" "Žilinská univerzita v Žiline" "17298814" 1 "International Journal of Advanced Robotic Systems"
"98" "Žilinská univerzita v Žiline" "19366612" 1 "Advanced Science Letters"
"99" "Žilinská univerzita v Žiline" "19936788" 1 "Aktual'ni Problemy Ekonomiky"
