"VS_NAZOV" "preds" "freq_pr" "miestny" "freq_miestny" "sum" "Size" "lng" "lat"
"1" "Akadémia ozbrojených síl v Liptovskom Mikuláši" 0 0 3 0.25 12 3.46410161513775 19.590598 49.067103
"2" "Akadémia Policajného zboru v Bratislave" 0 0 0 0 4 2 17.1667846 48.2017461
"3" "Ekonomická univerzita v Bratislave" 39 0.151162790697674 49 0.189922480620155 258 16.062378404209 17.1332155 48.1257816
"4" "Hochschule Fresenius gGmbH" 0 0 0 0 2 1.4142135623731 19.1348858 48.7294206
"5" "Katolícka univerzita v Ružomberku" 6 0.0810810810810811 14 0.189189189189189 74 8.60232526704263 19.2992225 49.0793883
"6" "Paneurópska vysoká škola" 7 0.155555555555556 4 0.0888888888888889 45 6.70820393249937 17.1635265 48.1591113
"7" "Prešovská univerzita v Prešove" 22 0.0849420849420849 76 0.293436293436293 259 16.0934769394311 21.2329572 48.9912902
"8" "Slovenská poľnohospodárska univerzita v Nitre" 1 0.00210084033613445 269 0.565126050420168 476 21.8174242292714 18.0931469 48.307092
"9" "Slovenská technická univerzita v Bratislave" 13 0.00975975975975976 166 0.124624624624625 1332 36.4965751817893 17.1175266 48.1547031
"10" "Slovenská zdravotnícka univerzita v Bratislave" 1 0.010989010989011 22 0.241758241758242 91 9.53939201416946 17.0884191 48.1682796
"11" "Technická univerzita v Košiciach" 39 0.0367231638418079 274 0.258003766478343 1062 32.5883414736007 21.2455912 48.7304698
"12" "Technická univerzita vo Zvolene" 3 0.0101010101010101 108 0.363636363636364 297 17.2336879396141 19.117315 48.5723721
"13" "Trenčianska univerzita Alexandra Dubčeka v Trenčíne" 17 0.120567375886525 21 0.148936170212766 141 11.8743420870379 18.047361 48.898708
"14" "Trnavská univerzita v Trnave" 2 0.0129032258064516 35 0.225806451612903 155 12.4498995979887 17.5869495 48.3795943
"15" "Univerzita J. Selyeho" 4 0.0408163265306122 7 0.0714285714285714 98 9.89949493661167 18.1326957 47.7543599
"16" "Univerzita Komenského v Bratislave" 25 0.0119731800766284 445 0.213122605363985 2088 45.6946386351835 17.1198562 48.1513798
"17" "Univerzita Konštantína Filozofa v Nitre" 38 0.103260869565217 92 0.25 368 19.1833260932509 18.091441 48.308376
"18" "Univerzita Mateja Bela v Banskej Bystrici" 19 0.0781893004115226 41 0.168724279835391 243 15.5884572681199 19.145627 48.733322
"19" "Univerzita Pavla Jozefa Šafárika v Košiciach" 14 0.0168674698795181 112 0.134939759036145 830 28.8097205817759 21.2512389 48.7191676
"20" "Univerzita sv. Cyrila a Metoda v Trnave" 45 0.257142857142857 46 0.262857142857143 175 13.228756555323 17.5887946 48.3831075
"21" "Univerzita veterinárskeho lekárstva a farmácie v Košiciach" 2 0.0116279069767442 23 0.133720930232558 172 13.114877048604 21.2460467 48.738437
"22" "Vysoká škola bezpečnostného manažérstva v Košiciach" 0 0 3 0.5 6 2.44948974278318 21.2538006 48.7142764
"23" "Vysoká škola Danubius" 0 0 2 0.4 5 2.23606797749979 17.6319968 48.2027476
"24" "Vysoká škola DTI" 0 0 1 0.0666666666666667 15 3.87298334620742 18.1604004 48.9602555
"25" "Vysoká škola ekonómie a manažmentu verejnej správy v Bratislave" 2 0.0909090909090909 4 0.181818181818182 22 4.69041575982343 17.1225919 48.1262269
"26" "Vysoká škola manažmentu v Trenčíne" 0 0 0 0 8 2.82842712474619 17.0974663 48.1169043
"27" "Vysoká škola medzinárodného podnikania ISM Slovakia v Prešove" 1 0.0909090909090909 1 0.0909090909090909 11 3.3166247903554 21.2320524 48.9933347
"28" "Vysoká škola múzických umení v Bratislave" 0 0 0 0 4 2 17.103213 48.1457427
"29" "Vysoká škola výtvarných umení v Bratislave" 0 0 0 0 5 2.23606797749979 17.1074531 48.1417494
"30" "Vysoká škola zdravotníctva a sociálnej práce sv. Alžbety v Bratislave" 3 0.103448275862069 6 0.206896551724138 29 5.3851648071345 17.109221 48.149201
"31" "Žilinská univerzita v Žiline" 7 0.00879396984924623 259 0.325376884422111 796 28.2134719593318 18.7548664 49.2040671
