"VS_F" "FOS" "VS_NAZOV" "preds" "freq_pr" "miestny" "freq_miestny" "sum" "Size"
"1" "AOS - Nemá fakulty" "Lekárske vedy" "Akadémia ozbrojených síl v Liptovskom Mikuláši" 0 0 1 1 1 1
"2" "AOS - Nemá fakulty" "Prírodné vedy" "Akadémia ozbrojených síl v Liptovskom Mikuláši" 0 0 1 0.333333333333333 3 1.73205080756888
"3" "AOS - Nemá fakulty" "Spoločenské vedy" "Akadémia ozbrojených síl v Liptovskom Mikuláši" 0 0 0 0 4 2
"4" "AOS - Nemá fakulty" "Technické vedy" "Akadémia ozbrojených síl v Liptovskom Mikuláši" 0 0 1 0.25 4 2
"5" "APZ - Nemá fakulty" "Prírodné vedy" "Akadémia Policajného zboru v Bratislave" 0 0 0 0 3 1.73205080756888
"6" "APZ - Nemá fakulty" "Spoločenské vedy" "Akadémia Policajného zboru v Bratislave" 0 0 0 0 1 1
"7" "EU - Fakulta aplikovaných jazykov" "Humanitné vedy" "Ekonomická univerzita v Bratislave" 0 0 2 0.5 4 2
"8" "EU - Fakulta aplikovaných jazykov" "Spoločenské vedy" "Ekonomická univerzita v Bratislave" 0 0 1 0.333333333333333 3 1.73205080756888
"9" "EU - Fakulta hospodárskej informatiky" "Prírodné vedy" "Ekonomická univerzita v Bratislave" 0 0 1 0.142857142857143 7 2.64575131106459
"10" "EU - Fakulta hospodárskej informatiky" "Spoločenské vedy" "Ekonomická univerzita v Bratislave" 0 0 8 0.533333333333333 15 3.87298334620742
"11" "EU - Fakulta medzinárodných vzťahov" "Spoločenské vedy" "Ekonomická univerzita v Bratislave" 21 0.538461538461538 3 0.0769230769230769 39 6.2449979983984
"12" "EU - Fakulta podnikového manažmentu" "Spoločenské vedy" "Ekonomická univerzita v Bratislave" 0 0 8 0.421052631578947 19 4.35889894354067
"13" "EU - mimo fakúlt" "Spoločenské vedy" "Ekonomická univerzita v Bratislave" 0 0 2 0.4 5 2.23606797749979
"14" "EU - Národohospodárska fakulta" "Spoločenské vedy" "Ekonomická univerzita v Bratislave" 6 0.142857142857143 6 0.142857142857143 42 6.48074069840786
"15" "EU - Obchodná fakulta" "Spoločenské vedy" "Ekonomická univerzita v Bratislave" 7 0.184210526315789 5 0.131578947368421 38 6.16441400296898
"16" "EU - Obchodná fakulta" "Technické vedy" "Ekonomická univerzita v Bratislave" 0 0 0 0 1 1
"17" "EU - Podnikovohospodárska fakulta v Košiciach" "Prírodné vedy" "Ekonomická univerzita v Bratislave" 0 0 0 0 1 1
"18" "EU - Podnikovohospodárska fakulta v Košiciach" "Spoločenské vedy" "Ekonomická univerzita v Bratislave" 5 0.0602409638554217 13 0.156626506024096 83 9.1104335791443
"19" "EU - Podnikovohospodárska fakulta v Košiciach" "Technické vedy" "Ekonomická univerzita v Bratislave" 0 0 0 0 1 1
"20" "HFresen - Nemá fakulty" "Spoločenské vedy" "Hochschule Fresenius gGmbH" 0 0 0 0 2 1.4142135623731
"21" "ISM - Nemá fakulty" "Spoločenské vedy" "Vysoká škola medzinárodného podnikania ISM Slovakia v Prešove" 1 0.0909090909090909 1 0.0909090909090909 11 3.3166247903554
"22" "KU - Fakulta zdravotníctva" "Lekárske vedy" "Katolícka univerzita v Ružomberku" 1 0.05 4 0.2 20 4.47213595499958
"23" "KU - Filozofická fakulta" "Humanitné vedy" "Katolícka univerzita v Ružomberku" 2 0.125 3 0.1875 16 4
"24" "KU - Filozofická fakulta" "Spoločenské vedy" "Katolícka univerzita v Ružomberku" 3 0.375 2 0.25 8 2.82842712474619
"25" "KU - Pedagogická fakulta" "Humanitné vedy" "Katolícka univerzita v Ružomberku" 0 0 1 0.5 2 1.4142135623731
"26" "KU - Pedagogická fakulta" "Lekárske vedy" "Katolícka univerzita v Ružomberku" 0 0 0 0 2 1.4142135623731
"27" "KU - Pedagogická fakulta" "Prírodné vedy" "Katolícka univerzita v Ružomberku" 0 0 2 0.133333333333333 15 3.87298334620742
"28" "KU - Pedagogická fakulta" "Spoločenské vedy" "Katolícka univerzita v Ružomberku" 0 0 2 0.25 8 2.82842712474619
"29" "KU - Pedagogická fakulta" "Technické vedy" "Katolícka univerzita v Ružomberku" 0 0 0 0 1 1
"30" "KU - Teologická fakulta" "Humanitné vedy" "Katolícka univerzita v Ružomberku" 0 0 0 0 1 1
"31" "KU - Teologická fakulta" "Spoločenské vedy" "Katolícka univerzita v Ružomberku" 0 0 0 0 1 1
"32" "PEVŠ - Fakulta ekonómie a podnikania" "Spoločenské vedy" "Paneurópska vysoká škola" 6 0.2 3 0.1 30 5.47722557505166
"33" "PEVŠ - Fakulta informatiky" "Prírodné vedy" "Paneurópska vysoká škola" 1 0.2 1 0.2 5 2.23606797749979
"34" "PEVŠ - Fakulta masmédií" "Humanitné vedy" "Paneurópska vysoká škola" 0 0 0 0 1 1
"35" "PEVŠ - Fakulta práva " "Spoločenské vedy" "Paneurópska vysoká škola" 0 0 0 0 4 2
"36" "PEVŠ - Fakulta psychológie" "Spoločenské vedy" "Paneurópska vysoká škola" 0 0 0 0 5 2.23606797749979
"37" "PU - Centrum celoživotného a kompetenčného vzdelávania" "Humanitné vedy" "Prešovská univerzita v Prešove" 0 0 0 0 1 1
"38" "PU - Centrum jazykov a kultúr národnostných menšín" "Humanitné vedy" "Prešovská univerzita v Prešove" 0 0 0 0 1 1
"39" "PU - Centrum jazykov a kultúr národnostných menšín" "Spoločenské vedy" "Prešovská univerzita v Prešove" 0 0 0 0 1 1
"40" "PU - Fakulta humanitných a prírodných vied" "Humanitné vedy" "Prešovská univerzita v Prešove" 0 0 2 0.285714285714286 7 2.64575131106459
"41" "PU - Fakulta humanitných a prírodných vied" "Lekárske vedy" "Prešovská univerzita v Prešove" 0 0 0 0 1 1
"42" "PU - Fakulta humanitných a prírodných vied" "Prírodné vedy" "Prešovská univerzita v Prešove" 2 0.0571428571428571 4 0.114285714285714 35 5.91607978309962
"43" "PU - Fakulta humanitných a prírodných vied" "Spoločenské vedy" "Prešovská univerzita v Prešove" 0 0 0 0 10 3.16227766016838
"44" "PU - Fakulta humanitných a prírodných vied" "Technické vedy" "Prešovská univerzita v Prešove" 0 0 1 0.25 4 2
"45" "PU - Fakulta manažmentu" "Prírodné vedy" "Prešovská univerzita v Prešove" 1 0.166666666666667 1 0.166666666666667 6 2.44948974278318
"46" "PU - Fakulta manažmentu" "Spoločenské vedy" "Prešovská univerzita v Prešove" 15 0.174418604651163 18 0.209302325581395 86 9.2736184954957
"47" "PU - Fakulta športu" "Spoločenské vedy" "Prešovská univerzita v Prešove" 0 0 0 0 7 2.64575131106459
"48" "PU - Fakulta zdravotníckych odborov" "Lekárske vedy" "Prešovská univerzita v Prešove" 0 0 18 0.666666666666667 27 5.19615242270663
"49" "PU - Fakulta zdravotníckych odborov" "Spoločenské vedy" "Prešovská univerzita v Prešove" 0 0 4 0.666666666666667 6 2.44948974278318
"50" "PU - Fakulta zdravotníckych odborov" "Technické vedy" "Prešovská univerzita v Prešove" 0 0 0 0 1 1
"51" "PU - Filozofická fakulta" "Humanitné vedy" "Prešovská univerzita v Prešove" 0 0 22 0.564102564102564 39 6.2449979983984
"52" "PU - Filozofická fakulta" "Spoločenské vedy" "Prešovská univerzita v Prešove" 0 0 4 0.363636363636364 11 3.3166247903554
"53" "PU - Gréckokatolícka teologická fakulta" "Humanitné vedy" "Prešovská univerzita v Prešove" 4 0.8 0 0 5 2.23606797749979
"54" "PU - Pedagogická fakulta" "Spoločenské vedy" "Prešovská univerzita v Prešove" 0 0 2 0.2 10 3.16227766016838
"55" "PU - Pravoslávna bohoslovecká fakulta" "Humanitné vedy" "Prešovská univerzita v Prešove" 0 0 0 0 1 1
"56" "SPU - Fakulta agrobiológie a potravinových zdrojov" "Lekárske vedy" "Slovenská poľnohospodárska univerzita v Nitre" 0 0 2 0.4 5 2.23606797749979
"57" "SPU - Fakulta agrobiológie a potravinových zdrojov" "Poľnohospodarske vedy" "Slovenská poľnohospodárska univerzita v Nitre" 0 0 55 0.447154471544715 123 11.0905365064094
"58" "SPU - Fakulta agrobiológie a potravinových zdrojov" "Prírodné vedy" "Slovenská poľnohospodárska univerzita v Nitre" 0 0 1 0.2 5 2.23606797749979
"59" "SPU - Fakulta biotechnológie a potravinárstva" "Humanitné vedy" "Slovenská poľnohospodárska univerzita v Nitre" 0 0 0 0 1 1
"60" "SPU - Fakulta biotechnológie a potravinárstva" "Lekárske vedy" "Slovenská poľnohospodárska univerzita v Nitre" 0 0 1 0.166666666666667 6 2.44948974278318
"61" "SPU - Fakulta biotechnológie a potravinárstva" "Poľnohospodarske vedy" "Slovenská poľnohospodárska univerzita v Nitre" 0 0 90 0.596026490066225 151 12.2882057274445
"62" "SPU - Fakulta biotechnológie a potravinárstva" "Prírodné vedy" "Slovenská poľnohospodárska univerzita v Nitre" 0 0 3 0.5 6 2.44948974278318
"63" "SPU - Fakulta ekonomiky a manažmentu" "Poľnohospodarske vedy" "Slovenská poľnohospodárska univerzita v Nitre" 0 0 4 0.8 5 2.23606797749979
"64" "SPU - Fakulta ekonomiky a manažmentu" "Prírodné vedy" "Slovenská poľnohospodárska univerzita v Nitre" 0 0 0 0 2 1.4142135623731
"65" "SPU - Fakulta ekonomiky a manažmentu" "Spoločenské vedy" "Slovenská poľnohospodárska univerzita v Nitre" 0 0 15 0.625 24 4.89897948556636
"66" "SPU - Fakulta európskych štúdií a regionálneho rozvoja" "Poľnohospodarske vedy" "Slovenská poľnohospodárska univerzita v Nitre" 0 0 6 0.545454545454545 11 3.3166247903554
"67" "SPU - Fakulta európskych štúdií a regionálneho rozvoja" "Prírodné vedy" "Slovenská poľnohospodárska univerzita v Nitre" 0 0 0 0 1 1
"68" "SPU - Fakulta európskych štúdií a regionálneho rozvoja" "Spoločenské vedy" "Slovenská poľnohospodárska univerzita v Nitre" 1 0.25 0 0 4 2
"69" "SPU - Fakulta záhradníctva a krajinného inžinierstva" "Poľnohospodarske vedy" "Slovenská poľnohospodárska univerzita v Nitre" 0 0 14 0.518518518518518 27 5.19615242270663
"70" "SPU - Fakulta záhradníctva a krajinného inžinierstva" "Prírodné vedy" "Slovenská poľnohospodárska univerzita v Nitre" 0 0 2 0.5 4 2
"71" "SPU - Pracoviská" "Lekárske vedy" "Slovenská poľnohospodárska univerzita v Nitre" 0 0 0 0 1 1
"72" "SPU - Pracoviská" "Poľnohospodarske vedy" "Slovenská poľnohospodárska univerzita v Nitre" 0 0 5 0.416666666666667 12 3.46410161513775
"73" "SPU - Technická fakulta" "Poľnohospodarske vedy" "Slovenská poľnohospodárska univerzita v Nitre" 0 0 40 0.784313725490196 51 7.14142842854285
"74" "SPU - Technická fakulta" "Prírodné vedy" "Slovenská poľnohospodárska univerzita v Nitre" 0 0 1 1 1 1
"75" "SPU - Technická fakulta" "Technické vedy" "Slovenská poľnohospodárska univerzita v Nitre" 0 0 30 0.833333333333333 36 6
"76" "STU - Fakulta architektúry" "Humanitné vedy" "Slovenská technická univerzita v Bratislave" 0 0 1 0.5 2 1.4142135623731
"77" "STU - Fakulta architektúry" "Spoločenské vedy" "Slovenská technická univerzita v Bratislave" 0 0 0 0 1 1
"78" "STU - Fakulta architektúry" "Technické vedy" "Slovenská technická univerzita v Bratislave" 0 0 7 0.155555555555556 45 6.70820393249937
"79" "STU - Fakulta elektrotechniky a informatiky" "Prírodné vedy" "Slovenská technická univerzita v Bratislave" 2 0.0132450331125828 17 0.112582781456954 151 12.2882057274445
"80" "STU - Fakulta elektrotechniky a informatiky" "Spoločenské vedy" "Slovenská technická univerzita v Bratislave" 0 0 2 0.5 4 2
"81" "STU - Fakulta elektrotechniky a informatiky" "Technické vedy" "Slovenská technická univerzita v Bratislave" 1 0.0105263157894737 5 0.0526315789473684 95 9.74679434480896
"82" "STU - Fakulta chemickej a potravinárskej technológie" "Humanitné vedy" "Slovenská technická univerzita v Bratislave" 0 0 0 0 1 1
"83" "STU - Fakulta chemickej a potravinárskej technológie" "Lekárske vedy" "Slovenská technická univerzita v Bratislave" 0 0 0 0 1 1
"84" "STU - Fakulta chemickej a potravinárskej technológie" "Prírodné vedy" "Slovenská technická univerzita v Bratislave" 2 0.00431965442764579 55 0.118790496760259 463 21.51743479135
"85" "STU - Fakulta chemickej a potravinárskej technológie" "Technické vedy" "Slovenská technická univerzita v Bratislave" 0 0 0 0 2 1.4142135623731
"86" "STU - Fakulta informatiky a informačných technológií" "Prírodné vedy" "Slovenská technická univerzita v Bratislave" 1 0.037037037037037 0 0 27 5.19615242270663
"87" "STU - Materiálovo technologická fakulta" "Prírodné vedy" "Slovenská technická univerzita v Bratislave" 5 0.185185185185185 2 0.0740740740740741 27 5.19615242270663
"88" "STU - Materiálovo technologická fakulta" "Technické vedy" "Slovenská technická univerzita v Bratislave" 2 0.0188679245283019 18 0.169811320754717 106 10.295630140987
"89" "STU - mimo fakúlt" "Prírodné vedy" "Slovenská technická univerzita v Bratislave" 0 0 0 0 1 1
"90" "STU - Rektorát" "Prírodné vedy" "Slovenská technická univerzita v Bratislave" 0 0 0 0 1 1
"91" "STU - Rektorát" "Spoločenské vedy" "Slovenská technická univerzita v Bratislave" 0 0 2 0.4 5 2.23606797749979
"92" "STU - Rektorát" "Technické vedy" "Slovenská technická univerzita v Bratislave" 0 0 0 0 16 4
"93" "STU - Stavebná fakulta" "Lekárske vedy" "Slovenská technická univerzita v Bratislave" 0 0 0 0 2 1.4142135623731
"94" "STU - Stavebná fakulta" "Prírodné vedy" "Slovenská technická univerzita v Bratislave" 0 0 11 0.0802919708029197 137 11.7046999107196
"95" "STU - Stavebná fakulta" "Spoločenské vedy" "Slovenská technická univerzita v Bratislave" 0 0 0 0 4 2
"96" "STU - Stavebná fakulta" "Technické vedy" "Slovenská technická univerzita v Bratislave" 0 0 24 0.153846153846154 156 12.4899959967968
"97" "STU - Strojnícka fakulta" "Prírodné vedy" "Slovenská technická univerzita v Bratislave" 0 0 0 0 19 4.35889894354067
"98" "STU - Strojnícka fakulta" "Spoločenské vedy" "Slovenská technická univerzita v Bratislave" 0 0 0 0 2 1.4142135623731
"99" "STU - Strojnícka fakulta" "Technické vedy" "Slovenská technická univerzita v Bratislave" 0 0 22 0.34375 64 8
"100" "SZU - mimo fakúlt" "Lekárske vedy" "Slovenská zdravotnícka univerzita v Bratislave" 1 0.0111111111111111 22 0.244444444444444 90 9.48683298050514
"101" "SZU - mimo fakúlt" "Prírodné vedy" "Slovenská zdravotnícka univerzita v Bratislave" 0 0 0 0 1 1
"102" "TnUAD - Fakulta priemyselných technológií" "Technické vedy" "Trenčianska univerzita Alexandra Dubčeka v Trenčíne" 0 0 2 0.0526315789473684 38 6.16441400296898
"103" "TnUAD - Fakulta sociálno - ekonomických vzťahov" "Spoločenské vedy" "Trenčianska univerzita Alexandra Dubčeka v Trenčíne" 14 0.451612903225806 1 0.032258064516129 31 5.56776436283002
"104" "TnUAD - Fakulta zdravotníctva" "Lekárske vedy" "Trenčianska univerzita Alexandra Dubčeka v Trenčíne" 0 0 13 0.393939393939394 33 5.74456264653803
"105" "TnUAD - mimo fakúlt" "Technické vedy" "Trenčianska univerzita Alexandra Dubčeka v Trenčíne" 0 0 4 0.173913043478261 23 4.79583152331272
"106" "TnUAD - Rektorát" "Prírodné vedy" "Trenčianska univerzita Alexandra Dubčeka v Trenčíne" 0 0 1 0.0909090909090909 11 3.3166247903554
"107" "TnUAD - Rektorát" "Spoločenské vedy" "Trenčianska univerzita Alexandra Dubčeka v Trenčíne" 3 0.75 0 0 4 2
"108" "TnUAD - Rektorát" "Technické vedy" "Trenčianska univerzita Alexandra Dubčeka v Trenčíne" 0 0 0 0 1 1
"109" "TTU - Fakulta zdravotníctva a sociálnej práce" "Lekárske vedy" "Trnavská univerzita v Trnave" 0 0 10 0.204081632653061 49 7
"110" "TTU - Fakulta zdravotníctva a sociálnej práce" "Spoločenské vedy" "Trnavská univerzita v Trnave" 1 0.166666666666667 1 0.166666666666667 6 2.44948974278318
"111" "TTU - Filozofická fakulta" "Humanitné vedy" "Trnavská univerzita v Trnave" 0 0 8 0.571428571428571 14 3.74165738677394
"112" "TTU - Filozofická fakulta" "Spoločenské vedy" "Trnavská univerzita v Trnave" 0 0 2 0.285714285714286 7 2.64575131106459
"113" "TTU - Pedagogická fakulta" "Humanitné vedy" "Trnavská univerzita v Trnave" 0 0 2 0.4 5 2.23606797749979
