"VS_F" "VS_NAZOV" "miestny" "preds" "sum" "FOS" "freq_pr" "freq_miestny" "Size" "stud_avg"
"1" "AOS - Nemá fakulty" "Akadémia ozbrojených síl v Liptovskom Mikuláši" 3 0 12 "Spoločenské vedy" 0 0.25 3.46410161513775 371
"2" "APZ - Nemá fakulty" "Akadémia Policajného zboru v Bratislave" 0 0 4 "Prírodné vedy" 0 0 2 1157.5
"3" "EU - Fakulta aplikovaných jazykov" "Ekonomická univerzita v Bratislave" 3 0 7 "Humanitné vedy" 0 0.428571428571429 2.64575131106459 306.5
"4" "EU - Fakulta hospodárskej informatiky" "Ekonomická univerzita v Bratislave" 9 0 22 "Spoločenské vedy" 0 0.409090909090909 4.69041575982343 1495
"5" "EU - Fakulta medzinárodných vzťahov" "Ekonomická univerzita v Bratislave" 3 21 39 "Spoločenské vedy" 0.538461538461538 0.0769230769230769 6.2449979983984 578.5
"6" "EU - Fakulta podnikového manažmentu" "Ekonomická univerzita v Bratislave" 8 0 19 "Spoločenské vedy" 0 0.421052631578947 4.35889894354067 1525.5
"7" "EU - mimo fakúlt" "Ekonomická univerzita v Bratislave" 2 0 5 "Spoločenské vedy" 0 0.4 2.23606797749979 48.5
"8" "EU - Národohospodárska fakulta" "Ekonomická univerzita v Bratislave" 6 6 42 "Spoločenské vedy" 0.142857142857143 0.142857142857143 6.48074069840786 1626
"9" "EU - Obchodná fakulta" "Ekonomická univerzita v Bratislave" 5 7 39 "Spoločenské vedy" 0.179487179487179 0.128205128205128 6.2449979983984 1635.5
"10" "EU - Podnikovohospodárska fakulta v Košiciach" "Ekonomická univerzita v Bratislave" 13 5 85 "Spoločenské vedy" 0.0588235294117647 0.152941176470588 9.21954445729289 956
"11" "HFresen - Nemá fakulty" "Hochschule Fresenius gGmbH" 0 0 2 "Spoločenské vedy" 0 0 1.4142135623731 0
"12" "ISM - Nemá fakulty" "Vysoká škola medzinárodného podnikania ISM Slovakia v Prešove" 1 1 11 "Spoločenské vedy" 0.0909090909090909 0.0909090909090909 3.3166247903554 575
"13" "KU - Fakulta zdravotníctva" "Katolícka univerzita v Ružomberku" 4 1 20 "Lekárske vedy" 0.05 0.2 4.47213595499958 649.5
"14" "KU - Filozofická fakulta" "Katolícka univerzita v Ružomberku" 5 5 24 "Humanitné vedy" 0.208333333333333 0.208333333333333 4.89897948556636 554
